,Method,Dimention,L2,SP,KL,QL
376,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
377,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
378,GLASSO-I,20,0.8257,0.345165,0.357633,0.001359
379,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
380,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
381,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
382,GLASSO-I,20,0.280723,0.210426,0.037472,0.034482
383,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
384,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
385,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
386,GLASSO-I,20,0.71705,0.320699,0.251588,0.34715
387,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
388,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
389,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
390,GLASSO-I,20,0.207039,0.09381,0.021258,9.10E-05
391,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
392,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
393,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
394,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
395,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
396,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
397,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
398,GLASSO-I,20,0.277537,0.164163,0.038915,0.000139
399,GLASSO-I,20,0.238828,0.125245,0.028283,0.004052
400,GLASSO-I,20,0.194901,0.081314,0.018853,0.000116
401,GLASSO-I,50,0.53036,0.195609,0.145213,0.064904
402,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
403,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
404,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
405,GLASSO-I,50,0.517164,0.166552,0.136547,0.099999
406,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
407,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
408,GLASSO-I,50,0.658735,0.273037,0.232596,0.018791
409,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
410,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
411,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
